"","id","group","age_at_test","mass","time_point","Maturity_offset","Jump_height","Jump_speed","Bounciness","l_kicker","r_kicker","l_grip","r_grip","l_ham","r_ham","x10m_accel","x20m_speed","Fitness","mass_mean","mass_sd","Jump_height_mean","Jump_height_sd","Jump_speed_mean","Jump_speed_sd","Bounciness_mean","Bounciness_sd","l_kicker_mean","l_kicker_sd","r_kicker_mean","r_kicker_sd","l_grip_mean","l_grip_sd","r_grip_mean","r_grip_sd","l_ham_mean","l_ham_sd","r_ham_mean","r_ham_sd","x10m_accel_mean","x10m_accel_sd","x20m_speed_mean","x20m_speed_sd","Fitness_mean","Fitness_sd","mass_tscore","Jump_height_tscore","Jump_speed_tscore","Bounciness_tscore","l_kicker_tscore","r_kicker_tscore","l_grip_tscore","r_grip_tscore","l_ham_tscore","r_ham_tscore","x10m_accel_tscore","x20m_speed_tscore","Fitness_tscore"
"155","RTC48","u16s",NA,NA,"Autumn 2023",NA,22.6,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,NA,47.1068406190582,39.7718561941301,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4633387322338
"156","RTC48","u16s",NA,76.9,"Feb 2024",NA,21.2,0.3,1.04,NA,NA,NA,NA,287.75,294.5,2.04,3.63,16,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,58.8225123411047,42.4524556231791,37.7023791739618,38.3088261781875,NA,NA,NA,NA,56.3631014975476,54.1294881132087,60.0444482192243,64.3647059383382,42.1639487193129
"157","RTC48","u16s",NA,75.6,"April 2024",NA,20.7,0.27,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,57.9949215108764,40.790175267508,31.493948113457,41.2996975632628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","RTC48","u16s",NA,76,"April 2025",NA,20.7,0.2,1.28,NA,NA,NA,NA,429.5,403,2.05,3.52,15.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,58.2495648432544,40.790175267508,17.0076089722789,52.665008826549,NA,NA,NA,NA,85.4353359698614,73.837346258203,61.5005673176897,55.07403644058,38.864558706392
"159","RTC48","u16s",NA,53.8,"August 2024",NA,19.9,0.26,1.07,NA,NA,NA,NA,437.75,446.75,2.02,3.52,14.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,44.1168598962796,38.1305266984343,29.4244710932887,40.1033490092327,NA,NA,NA,NA,87.1273707804194,81.7840632521523,57.1322100222933,55.07403644058,32.2657786805502
"160","RTC50","u16s",NA,124.4,"Autumn 2023",NA,26,0.41,1.39,NA,NA,NA,NA,NA,NA,1.91,3.33,18.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,89.0614080609831,58.4103470376216,60.4666263958131,59.2449258737147,NA,NA,NA,NA,NA,NA,41.114899939173,39.0265163989978,58.6608987839173
"161","RTC50","u16s",NA,52.8,"April 2024",NA,24.2,0.35,1.22,NA,NA,NA,NA,362.75,366,1.95282051282051,3.298,17.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,43.4802515653348,52.4261377572057,48.0497642748033,49.0759631644586,NA,NA,NA,NA,71.7452361389835,67.1166941718916,47.3500765915765,36.3237761814681,52.0621187580756
"162","RTC50","u16s",NA,48.7,"August 2024",NA,27.4,0.44,1.38,NA,NA,NA,NA,387.5,417.75,1.88,3.23,17,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,40.8701574084611,63.0647320335006,66.675057456318,58.6467515966996,NA,NA,NA,NA,76.8213405706573,76.5165251304487,36.7465426437766,30.5804532192176,48.7627287451547
"163","RTC53","u16s",NA,54.5,"August 2024",NA,20,0.37,1.06,NA,NA,NA,NA,221.5,249.75,2.01,NA,16,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,44.562485727941,38.4629827695685,52.1887183151399,39.5051747322176,NA,NA,NA,NA,42.7755492309459,46.0011318736834,55.6760909238278,NA,42.1639487193129
"164","RTC54","u16s",NA,56.5,"Feb 2024",NA,21.7,0.36,1.45,NA,NA,NA,NA,265.5,251.25,2.11,3.65,16.5,63.041380952381,15.7082455788141,23.4702380952381,3.00791619352405,0.35942380952381,0.0483213870100707,1.23544761904762,0.167175359828256,255.392857142857,38.8044433206891,278.5,52.366079192546,4.98281692913433,0.668730409157448,5.18177451597485,0.688370208429606,256.72487745098,48.757862122704,271.765441176471,55.0541815359873,1.97101904761905,0.0686757011190803,3.45992424242424,0.118398356573273,17.1875,1.51543163445948,45.8357023898306,44.1147359788502,50.1192412949716,62.8339715358051,NA,NA,NA,NA,51.7997348872549,46.2735907420474,70.2372819084826,66.0539185742942,45.4633387322338
